numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao,evento
000001583,45546,DEPUTADA BEATRIZ CERQUEIRA,26098,2020-07-16 10:00:00,"Solicita à Secretaria de Estado de Educação - SEE - rever algumas de
suas políticas estabelecidas durante a pandemia da Covid-19, destacando
a entrega presencial do kit-merenda e de apostilas, que fará com que
profissionais da educação e alunos tenham que quebrar o isolamento
social.",19,2020-07-16 10:00:00,
000001584,45547,DEPUTADO CARLOS PIMENTA,7758,2020-07-16 10:00:00,"Agradece aos governos federal e estadual o envio de recursos para os
municípios combaterem a Covid-19 e apresenta apelo aos prefeitos para
que esse dinheiro seja realmente aplicado no combate à doença.",19,2020-07-16 10:00:00,
000001585,45548,DEPUTADA ANDRÉIA DE JESUS,26143,2020-07-16 10:00:00,"Solicita a aprovação do projeto de lei que trata da possibilidade de o
Banco de Desenvolvimento de Minas Gerais S/A - BDMG - oferecer linhas de
crédito em condições especiais, com exigência de contrapartidas sociais,
entre as quais a manutenção dos empregos, para agentes econômicos
impactados pela crise decorrente da pandemia de Covid-19. Ressalta que é
necessário investir em um plano de recuperação da economia popular.
Elogia a deputada Ana Paula Siqueira pela autoria do projeto de lei que
dispõe sobre a criação de banco de empregos para mulheres vítimas de
violência. Comenta ser necessário um maior debate sobre o projeto de lei
que dispõe sobre o ensino remoto no Estado durante a pandemia de Covid-
19. Defende que as discussões sobre a proposta de reforma da Previdência
dos servidores civis do Estado fiquem para um momento em que possa haver
a participação presencial dos servidores  nos debates.",19,2020-07-16 10:00:00,
000001586,45549,DEPUTADA MARÍLIA CAMPOS,12213,2020-07-16 10:00:00,"Comenta a importância dos seguintes projetos de lei: que suspende
imediatamente todos os prazos relativos aos concursos públicos, em razão
da pandemia do Covid-19 (coronavírus); que dispõe sobre a criação de
banco de empregos para mulheres vítimas de violência. Comenta o projeto
de lei que trata da possibilidade de o Banco de Desenvolvimento de Minas
Gerais S/A - BDMG - oferecer linhas de crédito em condições especiais,
com exigência de contrapartidas sociais, entre as quais a manutenção dos
empregos, para agentes econômicos impactados pela crise decorrente da
pandemia de Covid-19. Comenta que o projeto de lei que dispõe sobre o
ensino remoto no Estado durante a pandemia é importante, mas é preciso
modificá-lo para atender à necessidade também daqueles que não puderam
ter aulas. Informa que apresentou requerimento solicitando seja
encaminhado ao secretário municipal de Saúde de Contagem pedido de
informações sobre as razões da alta taxa de letalidade da pandemia de
Covid-19 no município. Comenta a proposta de reforma da Previdência dos
servidores públicos civis do Estado, destacando que não está se negando
a discutir uma reforma, mas que essa discussão não deve ser feita com a
rapidez e sem participação popular.",19,2020-07-16 10:00:00,
000001587,45550,DEPUTADA ANA PAULA SIQUEIRA,19150,2020-07-16 10:00:00,"Solicita apoio ao projeto de lei de sua autoria que dispõe sobre a
criação de banco de empregos para mulheres vítimas de violência. Comenta
que a proposta de reforma da Previdência dos servidores civis do Estado
prejudica especialmente as mulheres.",19,2020-07-16 10:00:00,
000001588,45551,DEPUTADO SARGENTO RODRIGUES,9673,2020-07-16 10:00:00,"Solicita ao presidente da Assembleia Legislativa, deputado Agostinho
Patrus, a ampliação da participação dos deputados no processo
legislativo durante a pandemia da Covid-19, sugerindo reuniões com o
colégio de presidentes de comissões. Solicita a suspensão da tramitação
da proposta de reforma da Previdência dos servidores civis do Estado
enquanto não for possível a efetiva participação popular, em decorrência
da pandemia.",19,2020-07-16 10:00:00,
000001589,45552,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-07-16 10:00:00,"Solicita a suspensão da tramitação da proposta de reforma da Previdência
dos servidores civis do Estado enquanto não for possível a efetiva
participação popular, em decorrência da pandemia de Covid-19. Ressalta
que o momento deveria ser de debate sobre o enfrentamento à pandemia.
Agradece o empenho do presidente da Assembleia Legislativa, deputado
Agostinho Patrus, e dos servidores da Casa, que permitem que parte do
trabalho seja feito remotamente.",19,2020-07-16 10:00:00,
000001590,45553,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2020-07-16 10:00:00,"Solicita a aprovação do projeto de lei que trata da possibilidade de o
Banco de Desenvolvimento de Minas Gerais S/A - BDMG - oferecer linhas de
crédito em condições especiais, com exigência de contrapartidas sociais,
entre as quais a manutenção dos empregos, para agentes econômicos
impactados pela crise decorrente da pandemia de Covid-19. Solicita
apreciação de proposta de emenda à Constituição de sua autoria que
concede isenção de todos os impostos estaduais e municipais nos últimos
meses. Defende o pedilúvio e as câmeras termográficas como medidas de
combate à pandemia. Critica aumento de salário de vereadores do
Município do Serro, durante a pandemia.",19,2020-07-16 10:00:00,
000001591,45554,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-07-16 10:00:00,"Comenta que não é o momento ideal para se discutir a proposta de reforma
da Previdência dos servidores civis do Estado. Defende que o governo de
Minas teria outras formas de recuperar as finanças, sem ter que
sacrificar ainda mais os servidores públicos, se, por exemplo, cobrasse
imposto sobre a exportação do ouro retirado do Estado.",19,2020-07-16 10:00:00,
000001592,45555,DEPUTADO CRISTIANO SILVEIRA,22523,2020-07-16 10:00:00,"Comenta que é possível fazer o debate da reforma da Previdência dos
servidores do Estado, mas não neste momento, dada a gravidade da
pandemia de Covid-19. Ressalta que o governo deveria suspender a
tramitação da proposta e buscar alternativas para a sua receita, como a
revisão de isenções e benefícios fiscais, que retiram dinheiro dos
cofres públicos. Lamenta o alto número de contaminados e mortos pelo
coronavírus no Estado e a situação crítica dos hospitais com a alta taxa
de ocupação de leitos. Elogia o trabalho da Assembleia Legislativa
durante a pandemia.",19,2020-07-16 10:00:00,
000001624,45524,DEPUTADO CRISTIANO SILVEIRA,22523,2020-07-15 14:00:00,"Saúda os representantes das entidades sindicais do funcionalismo e as
deputadas Celise Laviola e Beatriz Cerqueira pelo acompanhamento dos
debates sobre a proposta de reforma da Previdência dos servidores civis
do Estado. Ressalta que as circunstâncias para o debate não são as mais
apropriadas por ocasião da pandemia da Covid-19.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001625,45525,ANA PAULA GLINFSKOI THÉ,,2020-07-15 14:00:00,"Comenta a situação da Universidade do Estado de Minas Gerais - Uemg -
durante a pandemia da Covid-19. Critica a reforma da Previdência dos
servidores civis do Estado, destacando que a proposta retira direitos de
professores, que estão desde 2011 sem reajuste salarial, e que têm,
entre as categorias de professores de ensino superior público no Brasil,
o pior salário. Informa que a categoria só aceita discutir a proposta
após o governo cumprir o acordo de greve homologado desde 2016.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001626,45526,ALBERTO DINIZ JUNIOR,,2020-07-15 14:00:00,"Comenta não ser contrário à ideia de uma revisão na Previdência do
Estado, desde que seja feita de maneira a respeitar todos os direitos
dos servidores. Destaca as várias vezes em que houve reformas nas regras
de aposentadoria e pensão, salientando que muitos servidores já foram
atingidos e vão acumular mais perdas. Informa sobre emendas que serão
apresentadas à proposta pelo Fórum Mineiro das Carreiras Típicas de
Estado - Fomcate.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001627,45527,ANTÔNIO BAPTISTA RUBACK,,2020-07-15 14:00:00,"Apresenta considerações da Associação dos Servidores do Instituto
Mineiro de Agropecuária - Assima - sobre algus pontos da proposta de
reforma da Previdência dos servidores civis do Estado, como a alíquota,
o tempo de contribuição, a pensão por morte e o pedágio.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001628,45528,ADOLFO GARRIDO,,2020-07-15 14:00:00,"Apresenta críticas da Federação Sindical dos Servidores dos
Departamentos de Estradas de Rodagem do Brasil - Fasderbra - a algus
pontos da proposta de reforma da Previdência dos servidores civis do
Estado, como a elevação o desconto previdenciário dos inativos e a
criação de uma estrutura para gerenciar o fundo previdenciário,
lembrando a extinção do Fundo de Previdência do Estado de Minas Gerais -
Funpemg. Critica o governador Romeu Zema por apresentar a proposta
durante a pandemia da Covid-19.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001629,45529,MARCO ANTÔNIO COUTO DOS SANTOS,,2020-07-15 14:00:00,"Comenta que a tramitação da proposta de reforma da Previdência dos
servidores civis do Estado deveria ser suspensa enquanto perdurar a
pandemia da Covid-19. Critica pontos da proposta, como as alíquotas, a
contribuição extraordinária, a migração de regime sem benefício
especial, o aumento do tempo de contribuição das mulheres superior ao
dos homens, a pensão e as regras de transição. Destaca que o impacto da
pandemia nas contas públicas tem sido menor do que o esperado e sugere
ao governo combater a sonegação e fortalecer a arrecadação como forma de
resover a dificuldade financeira de Minas Gerais. Critica o acordo do
governador Romeu Zema com o governo federal sobre a restituição da Lei
Kandir.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001630,45530,RILKE NOVATO PÚBLIO,,2020-07-15 14:00:00,"Critica o governo do Estado por formular a proposta de reforma da
Previdência dos servidores civis do Estado sem dialogar com os
servidores e por enviá-la à Assembleia Legislativa durante a pandemia da
Covid-19. Critica pontos da proposta, como as alíquotas, o
desmembramento do Instituto de Previdência dos Servidores do Estado de
Minas Gerais - Ipsemg - e as regras de transição. Sugere ao governo
combater a sonegação, fortalecer a arrecadação e rever a negociação dos
recursos da Lei Kandir com o governo federal, como forma de resover a
dificuldade financeira de Minas Gerais.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001631,45531,LINCOLN ALVES MIRANDA,,2020-07-15 14:00:00,"Critica a tramitação da proposta de reforma da Previdência dos
servidores civis do Estado durante a pandemia da Covid-19. Comenta que é
incorreto falar hoje em deficit da Previdência, uma vez que o próprio
governo decidiu que quem paga a aposentadoria é o caixa único do Estado.
Critica pontos da proposta, como as alíquotas, o aumento do tempo de
contribuição das mulheres superior ao dos homens e as regras de
transição. Sugere ao governo do Estado fortalecer a arrecadação e rever
a negociação dos recursos da Lei Kandir com o governo federal, como
forma de resover a dificuldade financeira de Minas Gerais. Solicita um
minuto de silêncio em homenagem às vítimas da pandemia.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001632,45532,CARLOS MÁRIO PAES CAMACHO,,2020-07-15 14:00:00,"Comenta que a proposta de reforma da Previdência dos servidores civis do
Estado segue uma dinâmica das políticas neoliberais que estariam em
curso no Brasil desde a década de 1990, as quais teriam um compromisso,
acima de tudo, com o capital e retirariam direitos dos trabalhadores.
Comenta que, em decorrência da pandemia da Covid-19, não foi fazer uma
discussão exaustiva sobre a reforma, solicitando a suspensão da
tramitação da proposta. Ressalta que a pandemia revela a importância do
serviço público, que não pode ser desvalorizado e desmontado.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
000001633,45533,DENISE DE PAULA ROMANO,,2020-07-15 14:00:00,"Comenta que, devido à pandemia da Covid-19, não é momento de debater a
reforma da Previdência dos servidores civis do Estado, proposta pelo
governador Romeu Zema sem diálogo com o funcionalismo. Ressalta que a
proposta prejudica os aposentados e as mulheres, criticando alguns
pontos como as alíquotas e a contribuição extraordinária. Apresenta
apelo para que os atuais deputados não repitam o erro de 2013, quando
foi aprovada a extinção do Fundo de Previdência do Estado de Minas
Gerais - Funpemg.",19,2020-07-15 14:00:00,Seminário Reforma da Previdência de Minas Gerais
